event_number,record_index,volume,pdg,pro,E0_keV,Eprime_k_keV,Et_keV,theta_deg,q_gamma_keV_c,Q_keV_c,Q_signed_au,Q_absolute_au
9,3,3,22,2013,662.0,269.25387783617373,392.74612216382627,97.23454496839747,745.4094157841093,-103.46573106131203,-27.758299680019753,27.758299680019753
9,4,3,22,2013,662.0,266.9652291218051,395.0347708781949,90.4501683064035,715.7454345303173,-75.84120413196919,-20.34705453481244,20.34705453481244
11,3,3,22,2013,662.0,417.7243610045887,244.27563899541133,56.728323546439924,556.1652257549314,-53.644180292581275,-14.39192684743205,14.39192684743205
17,3,3,22,2013,662.0,413.53840277647225,248.46159722352775,57.572834510082544,561.8366097105367,-54.938235228556664,-14.73910232617996,14.73910232617996
22,3,3,22,2013,662.0,224.68902443042467,437.31097556957536,120.15545519803474,798.8565284503801,-119.69604628922146,-32.11264917696115,32.11264917696115
53,3,3,22,2013,662.0,659.315601673173,2.684398326827022,4.543695643618331,52.44668943228071,-0.06864248694081218,-0.018415746969939254,0.018415746969939254
64,3,3,22,2013,662.0,348.7021742729392,313.2978257270608,72.1533233787004,646.7961212848294,-75.87773131745415,-20.356854229365975,20.356854229365975
77,3,3,22,2013,662.0,656.2643200387603,5.735679961239725,6.659109277835827,76.77727815716271,-0.21416180427768552,-0.057456391427137966,0.057456391427137966
82,3,3,22,2013,662.0,560.9963242815992,101.00367571840081,30.568223503606816,336.78966567402335,-15.145242506474046,-4.063240803586982,4.063240803586982
90,3,3,22,2013,662.0,560.7309081340261,101.2690918659739,30.616763367694794,337.2717303418183,-15.20318378054604,-4.078785576073821,4.078785576073821
95,3,3,22,2013,662.0,621.5411981526609,40.458801847339146,18.240033707032836,207.3299832024183,-3.9473944420677345,-1.0590265661316351,1.0590265661316351
100,3,3,22,2013,662.0,236.5183691914985,425.4816308085015,112.86756696591148,784.7776228281457,-115.34075726643793,-30.94419062892378,30.94419062892378
114,3,3,22,2013,662.0,185.11147363266798,476.888526367332,171.33695046280747,845.4594614239239,-134.49587906958564,-36.083221745458104,36.083221745458104
119,3,3,22,2013,662.0,532.5678352423912,129.4321647576088,35.66876346784017,386.04672708624,-21.697377462779706,-5.821080078441078,5.821080078441078
129,3,3,22,2013,662.0,555.8446862455625,106.15531375443754,31.506368241757063,346.06278314310856,-16.28132201528734,-4.368033850932113,4.368033850932113
131,3,3,22,2013,662.0,432.0690430933512,229.93095690664882,53.89812151556271,536.523234961093,-49.26882961401926,-13.218086058845424,13.218086058845424
134,3,3,22,2013,662.0,502.2969894750689,159.70301052493107,41.011540390196934,434.4205107665187,-29.35485639612337,-7.875466519679605,7.875466519679605
137,3,3,22,2013,662.0,450.3949433296401,211.6050566703599,50.405926278576985,510.9174166404492,-43.81944836004009,-11.756099018624367,11.756099018624367
138,3,3,22,2013,662.0,514.4482456627442,147.55175433725583,38.866826596584254,415.41436118393045,-26.204195833684796,-7.030191671813658,7.030191671813658
139,3,3,22,2013,662.0,193.0032649188827,468.9967350811173,151.1298608537174,836.224598033786,-131.51784557704332,-35.28426014440259,35.28426014440259
155,3,3,22,2013,662.0,537.6458133195424,124.35418668045759,34.768398083406986,377.56280463024774,-20.478305149754835,-5.494021309808722,5.494021309808722
160,3,3,22,2013,662.0,188.4784615338392,473.5215384661608,159.93060025022487,841.5228026778728,-133.2237310747215,-35.741923569564015,35.741923569564015
172,3,3,22,2013,662.0,299.9094562931292,362.0905437068708,86.09756243712937,707.9302989369603,-92.60005729478387,-24.843202811300127,24.843202811300127
172,4,3,22,2013,662.0,186.18140589499419,475.8185941050058,67.8099458047964,616.2854869187865,86.38756229758646,23.176483829817847,23.176483829817847
176,3,3,22,2013,662.0,211.27833702902578,450.7216629709742,130.29352930960482,814.7309828737525,-124.67246193433051,-33.447746656989764,33.447746656989764
180,3,3,22,2013,662.0,336.34504536110916,325.65495463889084,75.36669916001102,662.4724924055364,-80.04139097758768,-21.473901501212026,21.473901501212026
183,3,3,22,2013,662.0,290.52682270662496,371.47317729337504,89.25331826437632,719.470012461074,-95.89802858140284,-25.727998911139416,25.727998911139416
183,4,3,22,2013,662.0,224.83161313571344,437.16838686428656,141.70003659848805,849.9431107718194,-162.13861650275211,-43.49935249498364,43.49935249498364
195,3,3,22,2013,662.0,383.71314229661346,278.28685770338654,63.88460045882953,601.5414674633297,-64.37043220947693,-17.269618930583125,17.269618930583125
197,3,3,22,2013,662.0,496.96176752342467,165.03823247657533,41.956231842307844,442.6130725438477,-30.768700796729338,-8.254779710340598,8.254779710340598
200,3,3,22,2013,662.0,207.8137644658144,454.1862355341856,133.3951089940222,818.8177325502049,-125.96463060237477,-33.79441607841829,33.79441607841829
205,3,3,22,2013,662.0,502.9799747520007,159.02002524799929,40.89077956395451,433.36530499069084,-29.1751802405622,-7.827262109192569,7.827262109192569
205,4,3,22,2013,662.0,198.49886926717838,463.5011307328216,93.7841214766415,703.5557805265925,-15.132119792621246,-4.05972017680549,4.05972017680549
208,3,3,22,2013,662.0,575.7863641803327,86.21363581966727,27.819569412620364,309.10020844900794,-12.022966747281169,-3.2255811715685465,3.2255811715685465
210,3,3,22,2013,662.0,274.75137320887774,387.24862679112226,95.0461242930109,738.7345608066069,-101.49833425003482,-27.230476702143278,27.230476702143278
212,3,3,22,2013,662.0,187.54296073487004,474.45703926513,162.3264151135532,842.6170790583647,-133.5769552899694,-35.836688314572,35.836688314572
213,3,3,22,2013,662.0,195.46727978055725,466.53272021944275,147.38815823634894,833.3355878985927,-130.5907038860966,-35.03552197149113,35.03552197149113
218,3,3,22,2013,662.0,364.3302408168517,297.6697591831483,68.32563534832994,626.7576329788542,-70.68652374519068,-18.964131305418466,18.964131305418466
218,4,3,22,2013,662.0,151.91509383796333,510.08490616203665,115.34866581046226,739.8874860048927,-17.655872239516505,-4.736805004994528,4.736805004994528
241,3,3,22,2013,662.0,193.44389706883845,468.55610293116155,150.42210837034227,835.7081651733337,-131.35195352327176,-35.23975380113424,35.23975380113424
251,3,3,22,2013,662.0,536.74363579895,125.25636420105002,34.92858425148104,379.0789995864518,-20.69342238835103,-5.55173402989527,5.55173402989527
252,3,3,22,2013,662.0,448.88425004470474,213.11574995529526,50.68925350551294,513.0518051239902,-44.26244858031136,-11.874949315688594,11.874949315688594
257,3,3,22,2013,662.0,488.8581981005424,173.14180189945762,43.39696931472402,454.89408399880153,-32.95020442158794,-8.840044326467368,8.840044326467368
258,3,3,22,2013,662.0,592.5121454278336,69.48785457216638,24.56724546193801,275.39970555952584,-8.766186658968394,-2.351836050783229,2.351836050783229
261,3,3,22,2013,662.0,582.5293971753758,79.47060282462417,26.53077104322819,295.8620617013285,-10.672884909742487,-2.863374517688695,2.863374517688695
271,3,3,22,2013,662.0,417.160215181686,244.839784818314,56.841619078457136,556.9310967825951,-53.8181355157369,-14.438596417788606,14.438596417788606
286,3,3,22,2013,662.0,203.9330585244628,458.0669414755372,137.20736352717591,823.388570770095,-127.41513043506134,-34.1835633702658,34.1835633702658
296,3,3,22,2013,662.0,636.0868015444165,25.913198455583483,14.406737105517832,164.78691144939896,-2.037289726228987,-0.5465741958772615,0.5465741958772615
308,3,3,22,2013,662.0,264.9145163974439,397.0854836025561,99.03387141638531,750.6646254375744,-105.02427468832009,-28.176433497073035,28.176433497073035
316,3,3,22,2013,662.0,518.7882936820672,143.2117063179328,38.10174327229616,408.49925885110406,-25.10320420489371,-6.734812175011324,6.734812175011324
